"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Receipt of HIV medical care","2017","Alabama","01","9,395","NA","75.7"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","1,020","NA","9.0"
"Knowledge of Status","2017","Alabama","01","12,862","NA","81.3 (77.4 - 85.6, 2.6)"
"HIV viral suppression","2017","Alabama","01","7,886","NA","63.6"
"HIV prevalence","2017","Alabama","01","12,911","315.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Alabama","01","15,800 (15,000 - 16,600, 2.6)","386.2 (366.8 - 405.6)","NA"
"Estimated HIV incidence","2017","Alabama","01","640 (470 - 800, 13.5)","15.5 (11.4 - 19.6)","NA"
"AIDS prevalence","2017","Alabama","01","5,693","139.0","NA"
"Receipt of HIV medical care","2018","Alabama","01","10,037","NA","77.4"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","1,539","NA","14.0"
"Knowledge of Status","2018","Alabama","01","13,276","NA","81.7 (77.8 - 86.1, 2.6)"
"HIV viral suppression","2018","Alabama","01","8,550","NA","65.9"
"HIV prevalence","2018","Alabama","01","13,311","323.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Alabama","01","16,200 (15,400 - 17,100, 2.6)","395.3 (375.3 - 415.3)","NA"
"Estimated HIV incidence","2018","Alabama","01","620 (430 - 810, 15.6)","15.1 (10.5 - 19.7)","NA"
"AIDS prevalence","2018","Alabama","01","5,840","142.1","NA"
"Receipt of HIV medical care","2019","Alabama","01","10,325","NA","78.0"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","1,835","NA","16.7"
"Knowledge of Status","2019","Alabama","01","13,658","NA","82.5 (78.4 - 86.9, 2.6)"
"HIV viral suppression","2019","Alabama","01","8,837","NA","66.7"
"HIV prevalence","2019","Alabama","01","13,693","331.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Alabama","01","16,600 (15,700 - 17,400, 2.6)","401.2 (380.6 - 421.7)","NA"
"Estimated HIV incidence","2019","Alabama","01","560 (350 - 770, 18.9)","13.6 (8.6 - 18.7)","NA"
"AIDS prevalence","2019","Alabama","01","5,983","144.9","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Alabama","01","10,272","NA","75.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","1,910","NA","17.3"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Alabama","01","13,911","NA","83.1 (78.9 - 87.7, 2.7)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Alabama","01","8,875","NA","65.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alabama","01","13,954","329.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Alabama","01","16,700 (15,900 - 17,600, 2.7)","394.6 (373.6 - 415.5)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Alabama","01","590 (340 - 840, 21.6)","13.9 (8.0 - 19.8)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alabama","01","6,075","143.6","NA"
"Receipt of HIV medical care","2021","Alabama","01","9,898","NA","71.9"
