"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Uninsured","2017","Alabama","01","448,926","9.4"
"Households living below the federal poverty level","2017","Alabama","01","154,072","12.8"
"Uninsured","2018","Alabama","01","481,259","10.0"
"Households living below the federal poverty level","2018","Alabama","01","148,205","12.2"
"Uninsured","2019","Alabama","01","468,901","9.7"
"Households living below the federal poverty level","2019","Alabama","01","138,643","11.2"
"Uninsured","2020 (COVID-19 Pandemic)","Alabama","01","469,786","9.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Alabama","01","117,112","9.8"
"Uninsured","2021","Alabama","01","488,571","9.9"
"Households living below the federal poverty level","2021","Alabama","01","148,751","11.7"
"Uninsured","2022","Alabama","01","437,268","8.8"
"Households living below the federal poverty level","2022","Alabama","01","157,078","12.0"
"Uninsured","2017","Alaska","02","97,796","13.7"
"Households living below the federal poverty level","2017","Alaska","02","12,388","7.4"
"Uninsured","2018","Alaska","02","90,128","12.6"
"Households living below the federal poverty level","2018","Alaska","02","12,565","7.5"
"Uninsured","2019","Alaska","02","86,187","12.2"
"Households living below the federal poverty level","2019","Alaska","02","10,767","6.6"
"Uninsured","2020 (COVID-19 Pandemic)","Alaska","02","81,205","11.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Alaska","02","9,291","5.6"
"Uninsured","2021","Alaska","02","80,083","11.4"
"Households living below the federal poverty level","2021","Alaska","02","12,238","7.1"
"Uninsured","2022","Alaska","02","76,973","11.0"
"Households living below the federal poverty level","2022","Alaska","02","12,832","7.3"
"Uninsured","2017","Arizona","04","694,790","10.1"
"Households living below the federal poverty level","2017","Arizona","04","176,799","10.7"
"Uninsured","2018","Arizona","04","749,977","10.6"
"Households living below the federal poverty level","2018","Arizona","04","169,588","9.9"
"Uninsured","2019","Arizona","04","808,643","11.3"
"Households living below the federal poverty level","2019","Arizona","04","165,367","9.5"
"Uninsured","2020 (COVID-19 Pandemic)","Arizona","04","816,797","11.2"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Arizona","04","155,363","8.8"
"Uninsured","2021","Arizona","04","766,140","10.7"
"Households living below the federal poverty level","2021","Arizona","04","168,018","9.1"
"Uninsured","2022","Arizona","04","748,712","10.3"
"Households living below the federal poverty level","2022","Arizona","04","164,074","8.9"
"Uninsured","2017","Arkansas","05","231,802","7.9"
"Households living below the federal poverty level","2017","Arkansas","05","87,545","11.6"
"Uninsured","2018","Arkansas","05","243,585","8.2"
"Households living below the federal poverty level","2018","Arkansas","05","97,680","12.7"
"Uninsured","2019","Arkansas","05","270,970","9.1"
"Households living below the federal poverty level","2019","Arkansas","05","88,371","11.7"
"Uninsured","2020 (COVID-19 Pandemic)","Arkansas","05","251,481","8.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Arkansas","05","84,534","11.0"
"Uninsured","2021","Arkansas","05","273,029","9.2"
"Households living below the federal poverty level","2021","Arkansas","05","90,205","11.6"
"Uninsured","2022","Arkansas","05","252,143","8.4"
"Households living below the federal poverty level","2022","Arkansas","05","91,796","11.8"
"Uninsured","2017","California","06","2,796,589","7.2"
"Households living below the federal poverty level","2017","California","06","855,419","9.6"
"Uninsured","2018","California","06","2,825,620","7.2"
"Households living below the federal poverty level","2018","California","06","813,051","9.1"
"Uninsured","2019","California","06","3,001,997","7.7"
"Households living below the federal poverty level","2019","California","06","735,757","8.2"
"Uninsured","2020 (COVID-19 Pandemic)","California","06","2,747,459","7.1"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","California","06","686,797","7.7"
"Uninsured","2021","California","06","2,712,540","7.0"
"Households living below the federal poverty level","2021","California","06","823,195","9.0"
"Uninsured","2022","California","06","2,491,843","6.5"
"Households living below the federal poverty level","2022","California","06","786,969","8.6"
"Uninsured","2017","Colorado","08","414,077","7.5"
"Households living below the federal poverty level","2017","Colorado","08","91,576","6.7"
"Uninsured","2018","Colorado","08","421,644","7.5"
"Households living below the federal poverty level","2018","Colorado","08","85,108","6.2"
"Uninsured","2019","Colorado","08","453,475","8.0"
"Households living below the federal poverty level","2019","Colorado","08","82,467","5.8"
"Uninsured","2020 (COVID-19 Pandemic)","Colorado","08","482,390","8.4"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Colorado","08","73,003","5.4"
"Uninsured","2021","Colorado","08","455,360","8.0"
"Households living below the federal poverty level","2021","Colorado","08","89,816","6.2"
"Uninsured","2022","Colorado","08","408,525","7.1"
"Households living below the federal poverty level","2022","Colorado","08","84,922","5.8"
"Uninsured","2017","Connecticut","09","193,796","5.5"
"Households living below the federal poverty level","2017","Connecticut","09","56,147","6.4"
"Uninsured","2018","Connecticut","09","186,923","5.3"
"Households living below the federal poverty level","2018","Connecticut","09","63,327","7.1"
"Uninsured","2019","Connecticut","09","207,184","5.9"
"Households living below the federal poverty level","2019","Connecticut","09","60,242","6.8"
"Uninsured","2020 (COVID-19 Pandemic)","Connecticut","09","163,049","4.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Connecticut","09","56,995","6.4"
"Uninsured","2021","Connecticut","09","183,531","5.2"
"Households living below the federal poverty level","2021","Connecticut","09","61,396","6.7"
"Uninsured","2022","Connecticut","09","184,916","5.2"
"Households living below the federal poverty level","2022","Connecticut","09","58,665","6.5"
"Uninsured","2017","Delaware","10","51,243","5.4"
"Households living below the federal poverty level","2017","Delaware","10","21,693","9.2"
"Uninsured","2018","Delaware","10","53,962","5.7"
"Households living below the federal poverty level","2018","Delaware","10","20,026","8.4"
"Uninsured","2019","Delaware","10","62,770","6.6"
"Households living below the federal poverty level","2019","Delaware","10","18,436","7.6"
"Uninsured","2020 (COVID-19 Pandemic)","Delaware","10","61,597","6.3"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Delaware","10","17,311","7.2"
"Uninsured","2021","Delaware","10","56,726","5.7"
"Households living below the federal poverty level","2021","Delaware","10","22,051","8.6"
"Uninsured","2022","Delaware","10","56,790","5.6"
"Households living below the federal poverty level","2022","Delaware","10","17,152","6.5"
"Uninsured","2017","District of Columbia","11","26,011","3.8"
"Households living below the federal poverty level","2017","District of Columbia","11","15,874","13.3"
"Uninsured","2018","District of Columbia","11","21,897","3.2"
"Households living below the federal poverty level","2018","District of Columbia","11","13,733","11.3"
"Uninsured","2019","District of Columbia","11","24,506","3.5"
"Households living below the federal poverty level","2019","District of Columbia","11","10,998","8.8"
"Uninsured","2020 (COVID-19 Pandemic)","District of Columbia","11","24,280","3.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","District of Columbia","11","8,849","8.0"
"Uninsured","2021","District of Columbia","11","24,227","3.7"
"Households living below the federal poverty level","2021","District of Columbia","11","16,477","12.8"
"Uninsured","2022","District of Columbia","11","19,474","2.9"
"Households living below the federal poverty level","2022","District of Columbia","11","10,776","8.7"
"Uninsured","2017","Florida","12","2,676,147","12.9"
"Households living below the federal poverty level","2017","Florida","12","499,294","10.1"
"Uninsured","2018","Florida","12","2,728,485","13.0"
"Households living below the federal poverty level","2018","Florida","12","487,572","9.7"
"Uninsured","2019","Florida","12","2,784,348","13.2"
"Households living below the federal poverty level","2019","Florida","12","442,245","8.7"
"Uninsured","2020 (COVID-19 Pandemic)","Florida","12","2,643,624","12.4"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Florida","12","398,844","7.8"
"Uninsured","2021","Florida","12","2,598,467","12.1"
"Households living below the federal poverty level","2021","Florida","12","518,002","9.4"
"Uninsured","2022","Florida","12","2,447,725","11.2"
"Households living below the federal poverty level","2022","Florida","12","511,595","9.0"
"Uninsured","2017","Georgia","13","1,375,176","13.4"
"Households living below the federal poverty level","2017","Georgia","13","280,362","11.1"
"Uninsured","2018","Georgia","13","1,411,183","13.7"
"Households living below the federal poverty level","2018","Georgia","13","274,040","10.8"
